,air__airline_IndiGo,air__airline_Jet Airways,air__airline_other,doj__date_of_journey_week,doj__date_of_journey_day_of_year,location__source,location__destination,dur__duration_short,dur__duration_rbf_25,stops__total_stops,stops__is_direct,price
0,0.0,0.0,1.0,0.7058823529411765,0.7118644067796611,-0.8883812883557072,-1.845153203215723,1.0,3.131338491566597,0.0,1,3398
1,0.0,0.0,1.0,0.6470588235294118,0.6610169491525424,-1.9042993432904725,-0.8422408393435848,1.0,-0.3606499210269621,0.0,1,3543
2,0.0,0.0,1.0,0.2941176470588235,0.2796610169491526,-0.19423944160215414,-0.19546521264297537,1.0,-0.3606499090931603,0.0,1,4107
3,0.0,1.0,0.0,0.2941176470588235,0.30508474576271194,1.0417025785173093,1.0407533701563703,0.0,-0.3606499210269621,1.0,0,5406
4,1.0,0.0,0.0,0.7647058823529412,0.7372881355932204,-0.8883812883557072,-1.845153203215723,1.0,-0.35744917710482255,0.0,1,4823
5,0.0,0.0,0.0,0.5882352941176471,0.5847457627118644,1.0417025785173093,1.0407533701563703,0.0,-0.3606499210269621,1.0,0,8073
6,0.0,0.0,0.0,0.5882352941176471,0.5847457627118644,-0.19423944160215414,-0.19546521264297537,0.0,-0.3606499210269621,1.0,0,8891
7,0.0,0.0,0.0,0.05882352941176472,0.0423728813559322,1.0417025785173093,1.0407533701563703,0.0,-0.3606499210269621,1.0,0,15078
8,0.0,0.0,1.0,0.2941176470588235,0.30508474576271194,-0.8883812883557072,-1.845153203215723,1.0,2.4217229174211115,0.0,1,4632
9,0.0,0.0,1.0,0.05882352941176472,0.06779661016949157,1.0417025785173093,1.0407533701563703,0.0,-0.3606499210269621,1.0,0,8327
10,0.0,0.0,0.0,0.823529411764706,0.847457627118644,1.0417025785173093,1.0407533701563703,0.0,-0.3606499210269621,1.0,0,6513
11,0.0,1.0,0.0,0.6470588235294118,0.6610169491525424,-0.19423944160215414,-0.19546521264297537,0.0,-0.3606499210269621,1.0,0,13941
12,0.0,1.0,0.0,0.7058823529411765,0.6864406779661016,-0.19423944160215414,-0.19546521264297537,0.0,-0.3606499210269621,1.0,0,14388
13,0.0,0.0,0.0,0.0,0.016949152542372947,1.0417025785173093,1.0407533701563703,0.0,-0.3606499210269621,1.0,0,18916
14,0.0,0.0,0.0,0.823529411764706,0.7966101694915255,1.0417025785173093,1.0407533701563703,0.0,-0.3606499210269621,1.0,0,8907
15,0.0,1.0,0.0,0.5882352941176471,0.6101694915254237,-1.9042993432904725,-0.8422408393435848,1.0,-0.3606499210269621,0.0,1,4050
16,0.0,0.0,1.0,0.5882352941176471,0.5847457627118644,-0.19423944160215414,-0.19546521264297537,0.0,-0.3606499210269621,1.0,0,8777
